#{"t_start": 1755403398.321287, "env_id": "drone-2d-custom-v0"}
r,l,t
626.735125,104,0.96122
-9.740712,50,1.25663
295.86822,44,1.519046
-122.878027,27,1.680134
-125.523258,25,1.849162
698.575643,30,2.206166
661.099404,65,2.581306
-63.430963,30,2.78656
-241.431869,28,2.961818
493.283258,26,3.113865
-82.507889,25,3.27666
145.66911,48,3.559052
-85.449654,34,3.767949
494.223417,25,3.916921
-12.170925,24,4.076514
-177.972303,28,4.250173
547.631252,102,4.818372
833.502059,129,5.937911
59.954154,74,6.527216
-100.721834,35,6.741826
-182.108591,27,6.908757
-83.594106,26,7.074141
-88.675797,28,7.240535
-36.334819,32,7.458715
118.906971,24,7.637
-96.30368,31,7.818308
-102.674001,25,8.039998
-94.821218,31,8.344132
273.456359,28,8.543649
-87.123718,29,8.773883
393.411756,32,9.053703
127.669843,27,9.414356
-58.683833,28,9.785112
-99.644475,32,10.197932
353.065276,28,10.584911
-44.227164,26,10.870281
-38.846053,28,11.042939
1060.578201,31,11.218815
29.223488,38,11.437753
-125.372118,28,11.605832
-237.798869,28,11.775268
-199.620408,27,11.933096
1540.517556,31,12.112885
84.490569,51,12.405137
-151.816181,34,12.634822
1976.905692,34,12.837111
185.881181,36,13.042835
-9.718424,34,13.238533
-42.892961,35,13.447045
62.199324,40,13.679762
12.92806,39,13.905368
324.664359,33,14.130868
-143.549594,28,14.30672
-157.800081,32,14.641706
-82.360352,29,15.030102
-92.284671,31,15.392331
1297.547918,30,15.762959
389.988517,31,15.954304
5.623485,27,16.114065
890.274916,58,16.429681
-12.822579,34,16.638609
722.175197,153,17.420292
617.610462,113,18.027577
430.526432,37,18.251653
-141.584562,29,18.43197
117.9573,67,18.812108
-261.542289,27,18.977741
115.147809,40,19.206897
137.217624,35,19.416973
30.241633,31,19.59356
-233.928629,31,19.775796
-165.743469,29,19.943913
568.348837,36,20.157281
-181.42652,31,20.333614
240.619551,69,20.708956
566.243952,128,21.414058
1397.238171,238,22.782831
24.919619,36,22.991005
142.260683,53,23.286256
-45.904888,40,23.517834
2172.924049,51,23.812577
411.236271,79,24.243321
95.603701,85,24.709106
-63.422832,36,24.929271
-254.352033,27,25.101906
-70.30424,48,25.390635
1491.495364,205,26.906931
675.988226,99,27.776727
815.152448,123,28.498275
193.558649,69,28.915702
996.632519,158,29.778405
1027.492501,159,30.617405
2837.116762,311,32.548842
517.060252,102,33.359633
362.457991,142,34.177832
396.877919,84,34.637549
423.570742,90,35.143406
1074.461717,259,36.471216
243.238731,85,36.925249
748.170208,158,37.744137
453.434884,101,38.639561
162.762721,87,39.401179
895.955089,132,40.18641
5860.592629,601,43.434257
1016.009118,127,44.468183
606.440751,121,45.137823
230.807678,53,45.451688
2994.108409,267,46.77756
297.55904,70,47.175626
-264.78275,20,47.297532
672.361801,112,47.900815
-128.746406,26,48.056042
-342.98888,12,48.137997
260.875063,72,48.531475
448.740687,106,49.128276
3787.891239,171,50.022699
2358.283918,480,52.653523
178.028936,82,53.166296
5058.738182,139,54.319022
810.761004,136,55.170151
295.771287,109,55.772074
523.361582,90,56.334623
683.194997,150,57.205982
986.373253,180,58.50328
5047.925754,235,59.779949
2121.293643,204,60.858198
1027.227671,178,61.757206
219.996319,86,62.209258
1576.727898,170,63.406738
1276.323762,142,64.469589
75.24114,72,64.858352
984.307052,175,65.728659
1671.171046,157,66.544141
1895.982581,167,67.398725
1477.537388,330,69.415488
2318.221199,156,70.216416
737.240374,169,71.114444
3.290733,61,71.462483
919.694824,225,72.979869
3186.982571,154,73.778605
432.713433,101,74.462987
