#{"t_start": 1757866299.131152, "env_id": "drone-2d-custom-v0"}
r,l,t
3.448786,28,1.825683
1.692365,17,2.483637
3.522237,43,3.749378
2.565387,30,4.652269
0.012993,21,5.645663
1.638292,18,6.65659
4.831335,40,8.722226
2.665612,24,9.632147
5.998137,42,10.826472
4.40047,36,12.149619
1.089174,14,12.888502
3.574677,29,13.954249
4.744857,40,15.156168
4.210356,39,17.169603
0.548957,17,18.443126
3.062807,26,19.300632
1.69516,23,19.980702
0.768594,18,20.502147
0.649584,7,20.692487
2.047189,22,21.671106
5.169411,34,23.024255
3.900068,38,24.122139
3.903207,29,24.98686
5.35824,31,26.671506
2.567961,23,27.282706
5.026666,34,28.339083
2.267348,37,29.373358
2.433552,22,30.047147
4.337896,33,31.485565
1.080241,17,32.330486
4.626346,30,33.203309
1.144134,21,33.833534
5.597649,40,35.001585
5.237498,38,36.142048
0.239519,15,36.803824
1.107201,17,37.718869
2.062951,23,38.542026
5.183196,36,39.536538
5.138651,31,40.428428
4.892283,38,41.484345
5.370854,41,43.479859
0.319528,12,43.842751
4.575223,40,44.964702
5.366156,34,45.948635
4.937021,34,46.92242
4.393351,31,47.760465
5.457444,38,48.830495
0.324726,22,49.44431
3.451641,27,50.24657
2.341968,22,50.837372
0.233739,3,50.922539
5.490443,34,51.940504
4.664853,35,52.903018
2.142872,20,53.488845
1.053612,11,53.816865
1.971705,34,54.861524
4.662764,32,55.781813
0.834551,11,56.102869
4.832633,28,56.960968
0.951177,11,57.340507
1.314299,16,57.789761
4.401164,27,58.587565
0.732201,14,59.264826
2.419976,24,60.013491
4.34174,27,60.812646
4.784744,39,62.426375
4.081569,36,63.412547
5.359094,41,64.920781
4.235221,30,66.361788
3.485339,40,67.489429
4.904148,26,68.332142
4.995903,33,69.317554
4.544229,27,70.104401
5.208215,39,71.232382
4.683486,38,72.307871
4.881042,41,73.495923
4.486721,40,74.732766
5.236277,34,76.066578
3.397811,24,76.76269
6.072821,42,77.886046
1.677671,15,78.345617
0.805225,23,79.116908
2.91127,39,80.167211
5.169353,31,81.066068
1.800111,19,81.623024
0.327989,6,81.797527
5.350708,38,82.86749
2.691014,24,83.565438
1.085523,17,84.141387
0.783234,25,84.885981
1.806064,27,85.630917
4.117936,38,86.740566
1.243551,15,87.268729
1.957787,16,87.771332
4.047073,31,88.697819
0.787548,13,89.053394
4.438709,35,90.119076
2.700222,40,91.413327
3.561722,32,92.343908
0.918342,10,92.646215
